Country,Happiness.Rank,Happiness.Score
Norway,1,7.53700017929077
Denmark,2,7.52199983596802
Iceland,3,7.50400018692017
Switzerland,4,7.49399995803833
Finland,5,7.4689998626709
Netherlands,6,7.3769998550415
Canada,7,7.31599998474121
New Zealand,8,7.31400012969971
Sweden,9,7.28399991989136
Austria,10,7.28399991989136
Israel,11,7.21299982070923
Costa Rica,12,7.0789999961853
Austria,13,7.00600004196167
United States,14,6.99300003051758
Ireland,15,6.97700023651123
Germany,16,6.95100021362305
Belgium,17,6.89099979400635
Luxembourg,18,6.86299991607666
United Kingdom,19,6.71400022506714
Chile,20,6.65199995040894
United Arab Emirates,21,6.64799976348877
Brazil,22,6.63500022888184
Czech Republic,23,6.60900020599365
Argentina,24,6.59899997711182
Mexico,25,6.57800006866455
Singapore,26,6.57200002670288
Malta,27,6.52699995040894
Uruguay,28,6.4539999961853
Guatemala,29,6.4539999961853
Panama,30,6.4520001411438
France,31,6.44199991226196
Thailand,32,6.42399978637695
Taiwan Province of China,33,6.42199993133545
Spain,34,6.40299987792969
Qatar,35,6.375
Colombia,36,6.35699987411499
Saudi Arabia,37,6.3439998626709
Trinidad and Tobago,38,6.16800022125244
Kuwait,39,6.10500001907349
Slovakia,40,6.09800004959106
Bahrain,41,6.08699989318848
Malaysia,42,6.08400011062622
Nicaragua,43,6.07100009918213
Ecuador,44,6.00799989700317
El Salvador,45,6.00299978256226
Poland,46,5.97300004959106
Uzbekistan,47,5.97100019454956
Italy,48,5.96400022506714
Russia,49,5.96299982070923
Belize,50,5.95599985122681
Japan,51,5.92000007629395
Lithuania,52,5.90199995040894
Algeria,53,5.87200021743774
Latvia,54,5.84999990463257
South Korea,55,5.83799982070923
Moldova,56,5.83799982070923
Romania,57,5.82499980926514
Bolivia,58,5.82299995422363
Turkmenistan,59,5.82200002670288
Kazakhstan,60,5.81899976730347
North Cyprus,61,5.80999994277954
Slovenia,62,5.75799989700317
Peru,63,5.71500015258789
Mauritius,64,5.62900018692017
Cyprus,65,5.62099981307983
Estonia,66,5.61100006103516
Belarus,67,5.56899976730347
Libya,68,5.52500009536743
Turkey,69,5.5
Paraguay,70,5.49300003051758
"Hong Kong S.A.R., China",71,5.47200012207031
Philippines,72,5.42999982833862
Serbia,73,5.39499998092651
Jordan,74,5.33599996566772
Hungary,75,5.32399988174438
Jamaica,76,5.31099987030029
Croatia,77,5.29300022125244
Kosovo,78,5.27899980545044
China,79,5.27299976348877
Pakistan,80,5.26900005340576
Indonesia,81,5.26200008392334
Venezuela,82,5.25
Montenegro,83,5.23699998855591
Morocco,84,5.2350001335144
Azerbaijan,85,5.23400020599365
Dominican Republic,86,5.23000001907349
Greece,87,5.22700023651123
Lebanon,88,5.22499990463257
Portugal,89,5.19500017166138
Bosnia and Herzegovina,90,5.18200016021729
Honduras,91,5.18100023269653
Macedonia,92,5.17500019073486
Somalia,93,5.15100002288818
Vietnam,94,5.07399988174438
Nigeria,95,5.07399988174438
Tajikistan,96,5.04099988937378
Bhutan,97,5.01100015640259
Kyrgyzstan,98,5.00400018692017
Nepal,99,4.96199989318848
Mongolia,100,4.95499992370605
South Africa,101,4.8289999961853
Tunisia,102,4.80499982833862
Palestinian Territories,103,4.77500009536743
Egypt,104,4.7350001335144
Bulgaria,105,4.71400022506714
Sierra Leone,106,4.70900011062622
Cameroon,107,4.69500017166138
Iran,108,4.69199991226196
Albania,109,4.64400005340576
Bangladesh,110,4.60799980163574
Namibia,111,4.57399988174438
Kenya,112,4.55299997329712
Mozambique,113,4.55000019073486
Myanmar,114,4.54500007629395
Senegal,115,4.53499984741211
Zambia,116,4.51399993896484
Iraq,117,4.49700021743774
Gabon,118,4.46500015258789
Ethiopia,119,4.46000003814697
Sri Lanka,120,4.44000005722046
Armenia,121,4.37599992752075
India,122,4.31500005722046
Mauritania,123,4.29199981689453
Congo (Brazzaville),124,4.29099988937378
Georgia,125,4.28599977493286
Congo (Kinshasa),126,4.28000020980835
Mali,127,4.19000005722046
Ivory Coast,128,4.17999982833862
Cambodia,129,4.16800022125244
Sudan,130,4.13899993896484
Ghana,131,4.11999988555908
Ukraine,132,4.09600019454956
Uganda,133,4.08099985122681
Burkina Faso,134,4.03200006484985
Niger,135,4.02799987792969
Malawi,136,3.97000002861023
Chad,137,3.93600010871887
Zimbabwe,138,3.875
Lesotho,139,3.80800008773804
Angola,140,3.79500007629395
Afghanistan,141,3.79399991035461
Botswana,142,3.76600003242493
Benin,143,3.65700006484985
Madagascar,144,3.64400005340576
Haiti,145,3.6029999256134
Yemen,146,3.59299993515015
South Sudan,147,3.59100008010864
Liberia,148,3.53299999237061
Guinea,149,3.50699996948242
Togo,150,3.49499988555908
Rwanda,151,3.47099995613098
Syria,152,3.46199989318848
Tanzania,153,3.34899997711182
Burundi,154,2.90499997138977
Central African Republic,155,2.69300007820129
